race_analysis_id,event_id,driver,team,start_lap,end_lap,position_delta,phase,event_type,evidence_type,confidence,note
2026-01-albert_park,2026-01-albert_park-pos-0001,ALB,Williams,2,2,-1.0,opening,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0013,ALO,Aston Martin,11,11,-1.0,opening,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0014,ALO,Aston Martin,12,12,1.0,middle,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0015,ALO,Aston Martin,13,13,-3.0,middle,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0016,ALO,Aston Martin,16,16,1.0,middle,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0017,ANT,Mercedes,3,3,1.0,opening,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0018,ANT,Mercedes,5,5,1.0,opening,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0019,ANT,Mercedes,6,6,1.0,opening,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0020,ANT,Mercedes,12,12,-1.0,middle,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0021,ANT,Mercedes,16,16,1.0,middle,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0022,ANT,Mercedes,25,25,1.0,middle,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0023,ANT,Mercedes,28,28,1.0,middle,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0024,BEA,Haas F1 Team,2,2,2.0,opening,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0025,BEA,Haas F1 Team,3,3,1.0,opening,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0026,BEA,Haas F1 Team,6,6,1.0,opening,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0027,BEA,Haas F1 Team,8,8,-1.0,opening,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0028,BEA,Haas F1 Team,11,11,4.0,opening,neutralization-affected movement,inferred,0.42,Track-status phase overlaps position movement; cause unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0029,BEA,Haas F1 Team,18,18,-1.0,middle,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0030,BEA,Haas F1 Team,35,35,1.0,middle,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0031,BEA,Haas F1 Team,38,38,-1.0,middle,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0032,BEA,Haas F1 Team,40,40,1.0,middle,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0033,BOR,Audi,3,3,1.0,opening,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0034,BOR,Audi,6,6,-2.0,opening,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0035,BOR,Audi,11,11,4.0,opening,neutralization-affected movement,inferred,0.42,Track-status phase overlaps position movement; cause unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0036,BOR,Audi,18,18,-1.0,middle,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0037,BOR,Audi,19,19,-2.0,middle,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0038,BOR,Audi,20,20,2.0,middle,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0039,BOR,Audi,33,33,-2.0,middle,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0040,BOR,Audi,39,39,1.0,middle,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0041,BOR,Audi,40,40,1.0,middle,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0042,BOT,Cadillac,2,2,-3.0,opening,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0043,BOT,Cadillac,3,3,-1.0,opening,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0044,BOT,Cadillac,9,9,1.0,opening,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0045,BOT,Cadillac,11,11,3.0,opening,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0046,BOT,Cadillac,12,12,-4.0,middle,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0047,BOT,Cadillac,13,13,1.0,middle,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0048,COL,Alpine,2,2,1.0,opening,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0049,COL,Alpine,6,6,1.0,opening,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0050,COL,Alpine,9,9,-5.0,opening,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0051,COL,Alpine,11,11,2.0,opening,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0052,COL,Alpine,12,12,1.0,middle,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0053,COL,Alpine,13,13,1.0,middle,neutralization-affected movement,inferred,0.42,Track-status phase overlaps position movement; cause unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0054,COL,Alpine,18,18,1.0,middle,neutralization-affected movement,inferred,0.42,Track-status phase overlaps position movement; cause unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0055,COL,Alpine,34,34,2.0,middle,neutralization-affected movement,inferred,0.42,Track-status phase overlaps position movement; cause unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0056,COL,Alpine,37,37,-1.0,middle,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0057,GAS,Alpine,10,10,-1.0,opening,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0058,GAS,Alpine,11,11,-2.0,opening,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0059,GAS,Alpine,12,12,1.0,middle,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0060,GAS,Alpine,19,19,1.0,middle,neutralization-affected movement,inferred,0.42,Track-status phase overlaps position movement; cause unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0061,GAS,Alpine,20,20,-1.0,middle,neutralization-affected movement,inferred,0.42,Track-status phase overlaps position movement; cause unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0062,GAS,Alpine,21,21,1.0,middle,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0063,GAS,Alpine,33,33,1.0,middle,neutralization-affected movement,inferred,0.42,Track-status phase overlaps position movement; cause unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0064,GAS,Alpine,37,37,-1.0,middle,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0065,GAS,Alpine,38,38,1.0,middle,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0066,GAS,Alpine,40,40,-1.0,middle,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0067,HAD,Red Bull Racing,6,6,-1.0,opening,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0068,HAM,Ferrari,12,12,1.0,middle,neutralization-affected movement,inferred,0.42,Track-status phase overlaps position movement; cause unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0069,HAM,Ferrari,25,25,1.0,middle,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0070,HAM,Ferrari,28,28,-3.0,middle,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0071,LAW,Racing Bulls,2,2,1.0,opening,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0072,LAW,Racing Bulls,7,7,1.0,opening,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0073,LAW,Racing Bulls,9,9,1.0,opening,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0074,LAW,Racing Bulls,11,11,-1.0,opening,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0075,LAW,Racing Bulls,12,12,1.0,middle,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0076,LAW,Racing Bulls,16,16,1.0,middle,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0077,LAW,Racing Bulls,33,33,1.0,middle,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0078,LAW,Racing Bulls,34,34,-1.0,middle,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0079,LAW,Racing Bulls,37,37,1.0,middle,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0080,LEC,Ferrari,2,2,-1.0,opening,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0081,LEC,Ferrari,3,3,1.0,opening,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0082,LEC,Ferrari,25,25,-3.0,middle,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0083,LEC,Ferrari,28,28,1.0,middle,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0084,LIN,Racing Bulls,5,5,-1.0,opening,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0085,LIN,Racing Bulls,11,11,1.0,opening,neutralization-affected movement,inferred,0.42,Track-status phase overlaps position movement; cause unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0086,LIN,Racing Bulls,12,12,1.0,middle,neutralization-affected movement,inferred,0.42,Track-status phase overlaps position movement; cause unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0087,LIN,Racing Bulls,16,16,-1.0,middle,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0088,LIN,Racing Bulls,18,18,-1.0,middle,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0089,LIN,Racing Bulls,20,20,-1.0,middle,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0090,LIN,Racing Bulls,35,35,1.0,middle,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0091,LIN,Racing Bulls,39,39,-1.0,middle,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0092,LIN,Racing Bulls,40,40,-1.0,middle,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0093,NOR,McLaren,3,3,-1.0,opening,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0094,NOR,McLaren,11,11,-2.0,opening,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0095,NOR,McLaren,18,18,4.0,middle,neutralization-affected movement,inferred,0.42,Track-status phase overlaps position movement; cause unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0096,NOR,McLaren,34,34,-1.0,middle,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0097,NOR,McLaren,35,35,-2.0,middle,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0098,NOR,McLaren,38,38,1.0,middle,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0099,NOR,McLaren,39,39,1.0,middle,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0100,NOR,McLaren,42,42,1.0,middle,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0101,OCO,Haas F1 Team,11,11,-3.0,opening,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0102,OCO,Haas F1 Team,12,12,1.0,middle,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0103,OCO,Haas F1 Team,19,19,1.0,middle,neutralization-affected movement,inferred,0.42,Track-status phase overlaps position movement; cause unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0104,OCO,Haas F1 Team,20,20,-1.0,middle,neutralization-affected movement,inferred,0.42,Track-status phase overlaps position movement; cause unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0105,OCO,Haas F1 Team,21,21,-1.0,middle,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0106,OCO,Haas F1 Team,33,33,1.0,middle,neutralization-affected movement,inferred,0.42,Track-status phase overlaps position movement; cause unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0107,OCO,Haas F1 Team,37,37,1.0,middle,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0108,OCO,Haas F1 Team,38,38,-1.0,middle,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0109,OCO,Haas F1 Team,39,39,-1.0,middle,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0110,PER,Cadillac,3,3,1.0,opening,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0111,PER,Cadillac,9,9,1.0,opening,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0112,PER,Cadillac,11,11,3.0,opening,neutralization-affected movement,inferred,0.42,Track-status phase overlaps position movement; cause unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0113,PER,Cadillac,16,16,-1.0,middle,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0114,PER,Cadillac,18,18,-1.0,middle,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0115,RUS,Mercedes,2,2,1.0,opening,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0116,RUS,Mercedes,3,3,-1.0,opening,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0117,RUS,Mercedes,12,12,-1.0,middle,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0118,RUS,Mercedes,25,25,1.0,middle,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0119,RUS,Mercedes,28,28,1.0,middle,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0120,SAI,Williams,2,2,-1.0,opening,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0121,SAI,Williams,3,3,-1.0,opening,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0122,SAI,Williams,6,6,1.0,opening,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0123,SAI,Williams,11,11,1.0,opening,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0124,SAI,Williams,16,16,1.0,middle,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0125,SAI,Williams,29,29,-1.0,middle,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0126,SAI,Williams,33,33,-1.0,middle,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0127,SAI,Williams,34,34,-1.0,middle,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0128,STR,Aston Martin,9,9,1.0,opening,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0129,STR,Aston Martin,12,12,1.0,middle,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0130,STR,Aston Martin,13,13,1.0,middle,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0131,VER,Red Bull Racing,2,2,1.0,opening,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0132,VER,Red Bull Racing,3,3,1.0,opening,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0133,VER,Red Bull Racing,4,4,1.0,opening,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0134,VER,Red Bull Racing,5,5,1.0,opening,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0135,VER,Red Bull Racing,6,6,1.0,opening,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0136,VER,Red Bull Racing,8,8,1.0,opening,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0137,VER,Red Bull Racing,10,10,1.0,opening,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0138,VER,Red Bull Racing,11,11,3.0,opening,neutralization-affected movement,inferred,0.42,Track-status phase overlaps position movement; cause unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0139,VER,Red Bull Racing,18,18,-1.0,middle,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0140,VER,Red Bull Racing,20,20,1.0,middle,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-01-albert_park,2026-01-albert_park-pos-0141,VER,Red Bull Racing,34,34,1.0,middle,neutralization-affected movement,inferred,0.42,Track-status phase overlaps position movement; cause unavailable.
2026-01-albert_park,2026-01-albert_park-pos-0142,VER,Red Bull Racing,42,42,-1.0,middle,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-02-shanghai,2026-02-shanghai-pos-0001,ALO,Aston Martin,2,2,-3.0,opening,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-02-shanghai,2026-02-shanghai-pos-0002,ALO,Aston Martin,3,3,-1.0,opening,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-02-shanghai,2026-02-shanghai-pos-0003,ALO,Aston Martin,6,6,-1.0,opening,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-02-shanghai,2026-02-shanghai-pos-0004,ALO,Aston Martin,10,10,4.0,opening,neutralization-affected movement,inferred,0.42,Track-status phase overlaps position movement; cause unavailable.
2026-02-shanghai,2026-02-shanghai-pos-0005,ALO,Aston Martin,14,14,-5.0,middle,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-02-shanghai,2026-02-shanghai-pos-0006,ALO,Aston Martin,15,15,-1.0,middle,track-position loss,inferred,0.52,Lap-position loss; pass-by-pass attribution unavailable.
2026-02-shanghai,2026-02-shanghai-pos-0007,ALO,Aston Martin,17,17,1.0,middle,neutralization-affected movement,inferred,0.42,Track-status phase overlaps position movement; cause unavailable.
2026-02-shanghai,2026-02-shanghai-pos-0008,ALO,Aston Martin,18,18,-1.0,middle,neutralization-affected movement,inferred,0.42,Track-status phase overlaps position movement; cause unavailable.
2026-02-shanghai,2026-02-shanghai-pos-0009,ANT,Mercedes,2,2,1.0,opening,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-02-shanghai,2026-02-shanghai-pos-0010,BEA,Haas F1 Team,6,6,1.0,opening,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-02-shanghai,2026-02-shanghai-pos-0011,BEA,Haas F1 Team,9,9,2.0,opening,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-02-shanghai,2026-02-shanghai-pos-0012,BEA,Haas F1 Team,10,10,-1.0,opening,pit-cycle movement,inferred,0.58,Pit-window position movement inferred from lap-position changes; no exact gaps.
2026-02-shanghai,2026-02-shanghai-pos-0013,BEA,Haas F1 Team,14,14,2.0,middle,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-02-shanghai,2026-02-shanghai-pos-0014,BEA,Haas F1 Team,16,16,1.0,middle,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
2026-02-shanghai,2026-02-shanghai-pos-0015,BEA,Haas F1 Team,19,19,1.0,middle,track-position gain,inferred,0.52,Lap-position gain; pass-by-pass attribution unavailable.
