id,driver_code,permanent_number,first_name,last_name,full_name,nationality,date_of_birth
barilla,,,Paolo,Barilla,Paolo Barilla,Italian,1961-04-20
barrichello,BAR,,Rubens,Barrichello,Rubens Barrichello,Brazilian,1972-05-23
bartels,,,Michael,Bartels,Michael Bartels,German,1968-03-08
barth,,,Edgar,Barth,Edgar Barth,German,1917-01-26
bassi,,,Giorgio,Bassi,Giorgio Bassi,Italian,1934-01-20
bauer,,,Erwin,Bauer,Erwin Bauer,German,1912-07-17
baumgartner,,,Zsolt,Baumgartner,Zsolt Baumgartner,Hungarian,1981-01-01
bayol,,,Élie,Bayol,Élie Bayol,French,1914-02-28
bearman,BEA,87.0,Oliver,Bearman,Oliver Bearman,British,2005-05-08
beauman,,,Don,Beauman,Don Beauman,British,1928-07-26
bechem,,,Günther,Bechem,Günther Bechem,German,1921-12-21
dino_beganovic,,,Dino,Beganovic,Dino Beganovic,,
behra,,,Jean,Behra,Jean Behra,French,1921-02-16
bell,,,Derek,Bell,Derek Bell,British,1941-10-31
bellof,,,Stefan,Bellof,Stefan Bellof,German,1957-11-20
belmondo,,,Paul,Belmondo,Paul Belmondo,French,1963-04-23
belso,,,Tom,Belsø,Tom Belsø,Danish,1942-08-27
beltoise,,,Jean-Pierre,Beltoise,Jean-Pierre Beltoise,French,1937-04-26
beretta,,,Olivier,Beretta,Olivier Beretta,Monegasque,1969-11-23
berg,,,Allen,Berg,Allen Berg,Canadian,1961-08-01
georges_berger,,,Georges,Berger,Georges Berger,Belgian,1918-09-14
berger,,,Gerhard,Berger,Gerhard Berger,Austrian,1959-08-27
bernard,,,Éric,Bernard,Éric Bernard,French,1964-08-24
bernoldi,,,Enrique,Bernoldi,Enrique Bernoldi,Brazilian,1978-10-19
bertaggia,,,Enrico,Bertaggia,Enrico Bertaggia,Italian,1964-09-19
bettenhausen,,,Tony,Bettenhausen,Tony Bettenhausen,American,1916-09-12
beuttler,,,Mike,Beuttler,Mike Beuttler,British,1940-04-13
jules_bianchi,BIA,17.0,Jules,Bianchi,Jules Bianchi,French,1989-08-03
bianchi,,,Lucien,Bianchi,Lucien Bianchi,Belgian,1934-11-10
bianco,,,Gino,Bianco,Gino Bianco,Brazilian,1916-07-22
binder,,,Hans,Binder,Hans Binder,Austrian,1948-06-12
biondetti,,,Clemente,Biondetti,Clemente Biondetti,Italian,1898-08-18
bira,,,Prince,Bira,Prince Bira,Thai,1914-07-15
birger,,,Pablo,Birger,Pablo Birger,Argentine,1924-01-07
bisch,,,Art,Bisch,Art Bisch,American,1926-11-10
blanchard,,,Harry,Blanchard,Harry Blanchard,American,1929-06-13
bleekemolen,,,Michael,Bleekemolen,Michael Bleekemolen,Dutch,1949-10-02
blignaut,,,Alex,Blignaut,Alex Blignaut,South African,1932-11-30
blokdyk,,,Trevor,Blokdyk,Trevor Blokdyk,South African,1935-11-30
blundell,,,Mark,Blundell,Mark Blundell,British,1966-04-08
boesel,,,Raul,Boesel,Raul Boesel,Brazilian,1957-12-04
boffa,,,Menato,Boffa,Menato Boffa,Italian,1930-01-04
bondurant,,,Bob,Bondurant,Bob Bondurant,American,1933-04-27
bonetto,,,Felice,Bonetto,Felice Bonetto,Italian,1903-06-09
bonnier,,,Jo,Bonnier,Jo Bonnier,Swedish,1930-01-31
bonomi,,,Roberto,Bonomi,Roberto Bonomi,Argentine,1919-09-30
bordeu,,,Juan Manuel,Bordeu,Juan Manuel Bordeu,Argentine,1934-01-28
borgudd,,,Slim,Borgudd,Slim Borgudd,Swedish,1946-11-25
bortoleto,BOR,5.0,Gabriel,Bortoleto,Gabriel Bortoleto,Brazilian,2004-10-14
